기업,구분,항목,Dec-22,Dec-23,Dec-24,2025/12(E),2026/12(E),2027/12(E),23,24,25,26,27
오션스바이오,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오션스바이오,연결,당기순이익(억원),-5.54,-10.13,-14.42,,,,83%,42%,-100%,#DIV/0!,#DIV/0!
오션스바이오,연결,  전년동기대비(%),,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오션스바이오,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오션인더블유,연결,매출액(억원),134.64,118.63,68.02,,,,-12%,-43%,-100%,#DIV/0!,#DIV/0!
오션인더블유,연결,  전년동기대비(%),-76.03,-11.89,-42.66,,,,-84%,259%,-100%,#DIV/0!,#DIV/0!
오션인더블유,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오션인더블유,연결,영업이익(억원),-2.18,-6.83,-32.67,,,,213%,378%,-100%,#DIV/0!,#DIV/0!
오션인더블유,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오션인더블유,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오션인더블유,연결,당기순이익(억원),"-1,421.15","-1,054.41","1,678.98",,,,-26%,-259%,-100%,#DIV/0!,#DIV/0!
오션인더블유,연결,  전년동기대비(%),적전,적지,흑전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오션인더블유,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오스코텍,연결,매출액(억원),50.62,49.51,340.08,,,,-2%,587%,-100%,#DIV/0!,#DIV/0!
오스코텍,연결,  전년동기대비(%),29.7,-2.19,586.89,,,,-107%,-26899%,-100%,#DIV/0!,#DIV/0!
오스코텍,연결,  컨센서스대비(%),,,3.05,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오스코텍,연결,영업이익(억원),-286.38,-326.55,-27.34,,,,14%,-92%,-100%,#DIV/0!,#DIV/0!
오스코텍,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오스코텍,연결,  컨센서스대비(%),,,적지,-,-,-,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
오스코텍,연결,당기순이익(억원),-277.74,-284.9,-15.9,,,,3%,-94%,-100%,#DIV/0!,#DIV/0!
오스코텍,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오스코텍,연결,  컨센서스대비(%),,,적지,-,-,-,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
오스테오닉,연결,매출액(억원),198.39,277.99,342.35,451,,,40%,23%,32%,-100%,#DIV/0!
오스테오닉,연결,  전년동기대비(%),27.19,40.12,23.15,31.74,,,48%,-42%,37%,-100%,#DIV/0!
오스테오닉,연결,  컨센서스대비(%),,,0.79,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오스테오닉,연결,영업이익(억원),25.26,48.43,68.86,97,,,92%,42%,41%,-100%,#DIV/0!
오스테오닉,연결,  전년동기대비(%),336.27,91.73,42.18,40.87,,,-73%,-54%,-3%,-100%,#DIV/0!
오스테오닉,연결,  컨센서스대비(%),,,1.26,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오스테오닉,연결,당기순이익(억원),8.36,36.58,56.5,79,,,338%,54%,40%,-100%,#DIV/0!
오스테오닉,연결,  전년동기대비(%),흑전,337.56,54.46,39.82,,,#VALUE!,-84%,-27%,-100%,#DIV/0!
오스테오닉,연결,  컨센서스대비(%),,,34.52,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오스템,연결,매출액(억원),"1,108.93","1,419.76","1,278.65",,,,28%,-10%,-100%,#DIV/0!,#DIV/0!
오스템,연결,  전년동기대비(%),-1.68,28.03,-9.94,,,,-1768%,-135%,-100%,#DIV/0!,#DIV/0!
오스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오스템,연결,영업이익(억원),-46.59,99.04,4.35,,,,-313%,-96%,-100%,#DIV/0!,#DIV/0!
오스템,연결,  전년동기대비(%),적지,흑전,-95.61,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
오스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오스템,연결,당기순이익(억원),-136.61,87.21,-390.35,,,,-164%,-548%,-100%,#DIV/0!,#DIV/0!
오스템,연결,  전년동기대비(%),적지,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오아,연결,매출액(억원),742.49,888.77,969,,,,20%,9%,-100%,#DIV/0!,#DIV/0!
오아,연결,  전년동기대비(%),-16.75,19.7,9.03,,,,-218%,-54%,-100%,#DIV/0!,#DIV/0!
오아,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오아,연결,영업이익(억원),-4.19,53.21,94.64,,,,-1370%,78%,-100%,#DIV/0!,#DIV/0!
오아,연결,  전년동기대비(%),적전,흑전,77.86,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
오아,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오아,연결,당기순이익(억원),-15.74,46.84,69.04,,,,-398%,47%,-100%,#DIV/0!,#DIV/0!
오아,연결,  전년동기대비(%),적전,흑전,47.4,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
오아,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오에스피,연결,매출액(억원),168,351.69,303.09,,,,109%,-14%,-100%,#DIV/0!,#DIV/0!
오에스피,연결,  전년동기대비(%),7.04,109.34,-13.82,,,,1453%,-113%,-100%,#DIV/0!,#DIV/0!
오에스피,연결,  컨센서스대비(%),,4.05,,-,-,-,#DIV/0!,-100%,#VALUE!,#VALUE!,#VALUE!
오에스피,연결,영업이익(억원),10.93,20.43,-0.59,,,,87%,-103%,-100%,#DIV/0!,#DIV/0!
오에스피,연결,  전년동기대비(%),-61.02,86.92,적전,,,,-242%,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오에스피,연결,  컨센서스대비(%),,-14.88,,-,-,-,#DIV/0!,-100%,#VALUE!,#VALUE!,#VALUE!
오에스피,연결,당기순이익(억원),11.01,1.28,26.54,,,,-88%,1973%,-100%,#DIV/0!,#DIV/0!
오에스피,연결,  전년동기대비(%),-61.72,-88.37,"1,973.44",,,,43%,-2333%,-100%,#DIV/0!,#DIV/0!
오에스피,연결,  컨센서스대비(%),,-94.18,,-,-,-,#DIV/0!,-100%,#VALUE!,#VALUE!,#VALUE!
오이솔루션,연결,매출액(억원),769.54,460.03,320.27,,,,-40%,-30%,-100%,#DIV/0!,#DIV/0!
오이솔루션,연결,  전년동기대비(%),-22.02,-40.22,-30.38,,,,83%,-24%,-100%,#DIV/0!,#DIV/0!
오이솔루션,연결,  컨센서스대비(%),-1.59,,,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오이솔루션,연결,영업이익(억원),-87.05,-310.81,-303.58,,,,257%,-2%,-100%,#DIV/0!,#DIV/0!
오이솔루션,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오이솔루션,연결,  컨센서스대비(%),적지,,,-,-,-,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오이솔루션,연결,당기순이익(억원),-59.77,-338.17,-331.27,,,,466%,-2%,-100%,#DIV/0!,#DIV/0!
오이솔루션,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오이솔루션,연결,  컨센서스대비(%),적지,,,-,-,-,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오킨스전자,연결,매출액(억원),641.77,568.5,666.8,,,,-11%,17%,-100%,#DIV/0!,#DIV/0!
오킨스전자,연결,  전년동기대비(%),8.22,-11.42,17.29,,,,-239%,-251%,-100%,#DIV/0!,#DIV/0!
오킨스전자,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오킨스전자,연결,영업이익(억원),26.09,-2.63,19.04,,,,-110%,-824%,-100%,#DIV/0!,#DIV/0!
오킨스전자,연결,  전년동기대비(%),1.12,적전,흑전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오킨스전자,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오킨스전자,연결,당기순이익(억원),30.08,10.03,-54.08,,,,-67%,-639%,-100%,#DIV/0!,#DIV/0!
오킨스전자,연결,  전년동기대비(%),78.41,-66.66,적전,,,,-185%,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오킨스전자,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오텍,연결,매출액(억원),"10,194.70","9,597.47","9,092.32",,,,-6%,-5%,-100%,#DIV/0!,#DIV/0!
오텍,연결,  전년동기대비(%),0.18,-5.86,-5.26,,,,-3356%,-10%,-100%,#DIV/0!,#DIV/0!
오텍,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오텍,연결,영업이익(억원),-190.61,-97.65,-148.77,,,,-49%,52%,-100%,#DIV/0!,#DIV/0!
오텍,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오텍,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오텍,연결,당기순이익(억원),-387.76,-206.95,-316.54,,,,-47%,53%,-100%,#DIV/0!,#DIV/0!
오텍,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오텍,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오토앤,연결,매출액(억원),478.43,603.55,572.31,,,,26%,-5%,-100%,#DIV/0!,#DIV/0!
오토앤,연결,  전년동기대비(%),-4.96,26.15,-5.18,,,,-627%,-120%,-100%,#DIV/0!,#DIV/0!
오토앤,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오토앤,연결,영업이익(억원),-38.11,-28.03,-33.03,,,,-26%,18%,-100%,#DIV/0!,#DIV/0!
오토앤,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오토앤,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오토앤,연결,당기순이익(억원),-24.12,-11.15,-54.89,,,,-54%,392%,-100%,#DIV/0!,#DIV/0!
오토앤,연결,  전년동기대비(%),적전,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오토앤,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오파스넷,연결,매출액(억원),"1,705.85","2,249.81","1,928.85",,,,32%,-14%,-100%,#DIV/0!,#DIV/0!
오파스넷,연결,  전년동기대비(%),40.1,31.89,-14.27,,,,-20%,-145%,-100%,#DIV/0!,#DIV/0!
오파스넷,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오파스넷,연결,영업이익(억원),85.24,139.51,106.52,,,,64%,-24%,-100%,#DIV/0!,#DIV/0!
오파스넷,연결,  전년동기대비(%),47.04,63.67,-23.65,,,,35%,-137%,-100%,#DIV/0!,#DIV/0!
오파스넷,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오파스넷,연결,당기순이익(억원),60.69,104.6,96.47,,,,72%,-8%,-100%,#DIV/0!,#DIV/0!
오파스넷,연결,  전년동기대비(%),-2.6,72.35,-7.77,,,,-2883%,-111%,-100%,#DIV/0!,#DIV/0!
오파스넷,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오픈놀,연결,매출액(억원),162.68,251.36,507.73,,,,55%,102%,-100%,#DIV/0!,#DIV/0!
오픈놀,연결,  전년동기대비(%),49.71,54.51,101.99,,,,10%,87%,-100%,#DIV/0!,#DIV/0!
오픈놀,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오픈놀,연결,영업이익(억원),6.85,13.47,1.01,,,,97%,-93%,-100%,#DIV/0!,#DIV/0!
오픈놀,연결,  전년동기대비(%),195.26,96.64,-92.5,,,,-51%,-196%,-100%,#DIV/0!,#DIV/0!
오픈놀,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오픈놀,연결,당기순이익(억원),-5.61,14.08,16.13,,,,-351%,15%,-100%,#DIV/0!,#DIV/0!
오픈놀,연결,  전년동기대비(%),적전,흑전,14.56,,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
오픈놀,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오픈베이스,연결,매출액(억원),"1,930.95","2,040.47","2,262.90",,,,6%,11%,-100%,#DIV/0!,#DIV/0!
오픈베이스,연결,  전년동기대비(%),9.78,5.67,10.9,,,,-42%,92%,-100%,#DIV/0!,#DIV/0!
오픈베이스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오픈베이스,연결,영업이익(억원),79.8,66.05,66.62,,,,-17%,1%,-100%,#DIV/0!,#DIV/0!
오픈베이스,연결,  전년동기대비(%),47.72,-17.23,0.86,,,,-136%,-105%,-100%,#DIV/0!,#DIV/0!
오픈베이스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오픈베이스,연결,당기순이익(억원),68.29,57.62,76.65,,,,-16%,33%,-100%,#DIV/0!,#DIV/0!
오픈베이스,연결,  전년동기대비(%),35.28,-15.62,33.03,,,,-144%,-311%,-100%,#DIV/0!,#DIV/0!
오픈베이스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오픈엣지테크놀로지,연결,매출액(억원),100.12,195.95,153.28,,,,96%,-22%,-100%,#DIV/0!,#DIV/0!
오픈엣지테크놀로지,연결,  전년동기대비(%),93.06,95.72,-21.78,,,,3%,-123%,-100%,#DIV/0!,#DIV/0!
오픈엣지테크놀로지,연결,  컨센서스대비(%),0.12,15.26,-24.68,-,-,-,12617%,-262%,#VALUE!,#VALUE!,#VALUE!
오픈엣지테크놀로지,연결,영업이익(억원),-252.61,-158.64,-246.12,,,,-37%,55%,-100%,#DIV/0!,#DIV/0!
오픈엣지테크놀로지,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오픈엣지테크놀로지,연결,  컨센서스대비(%),적지,적지,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
오픈엣지테크놀로지,연결,당기순이익(억원),-252.27,-148.56,-272.87,,,,-41%,84%,-100%,#DIV/0!,#DIV/0!
오픈엣지테크놀로지,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오픈엣지테크놀로지,연결,  컨센서스대비(%),적지,적지,적지,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
오하임앤컴퍼니,연결,매출액(억원),324.1,410.39,472.69,,,,27%,15%,-100%,#DIV/0!,#DIV/0!
오하임앤컴퍼니,연결,  전년동기대비(%),0.25,26.62,15.18,,,,10548%,-43%,-100%,#DIV/0!,#DIV/0!
오하임앤컴퍼니,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오하임앤컴퍼니,연결,영업이익(억원),15.92,20.57,-23.89,,,,29%,-216%,-100%,#DIV/0!,#DIV/0!
오하임앤컴퍼니,연결,  전년동기대비(%),-56.56,29.21,적전,,,,-152%,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
오하임앤컴퍼니,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
오하임앤컴퍼니,연결,당기순이익(억원),15.02,24.6,10.4,,,,64%,-58%,-100%,#DIV/0!,#DIV/0!
오하임앤컴퍼니,연결,  전년동기대비(%),-59.2,63.78,-57.72,,,,-208%,-190%,-100%,#DIV/0!,#DIV/0!
오하임앤컴퍼니,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온코닉테라퓨틱스,연결,매출액(억원),0.95,210.56,148.38,,,,22064%,-30%,-100%,#DIV/0!,#DIV/0!
온코닉테라퓨틱스,연결,  전년동기대비(%),58.33,"22,064.21",-29.53,,,,37727%,-100%,-100%,#DIV/0!,#DIV/0!
온코닉테라퓨틱스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온코닉테라퓨틱스,연결,영업이익(억원),-148.38,22.31,-47.98,,,,-115%,-315%,-100%,#DIV/0!,#DIV/0!
온코닉테라퓨틱스,연결,  전년동기대비(%),적지,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
온코닉테라퓨틱스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온코닉테라퓨틱스,연결,당기순이익(억원),-144.32,16.82,-80.93,,,,-112%,-581%,-100%,#DIV/0!,#DIV/0!
온코닉테라퓨틱스,연결,  전년동기대비(%),적지,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
온코닉테라퓨틱스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온코크로스,연결,매출액(억원),1.5,0.92,10.72,,,,-39%,1065%,-100%,#DIV/0!,#DIV/0!
온코크로스,연결,  전년동기대비(%),50,-38.67,"1,065.22",,,,-177%,-2855%,-100%,#DIV/0!,#DIV/0!
온코크로스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온코크로스,연결,영업이익(억원),-99.99,-68.1,-69.65,,,,-32%,2%,-100%,#DIV/0!,#DIV/0!
온코크로스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
온코크로스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온코크로스,연결,당기순이익(억원),-102.04,-42.14,-64.83,,,,-59%,54%,-100%,#DIV/0!,#DIV/0!
온코크로스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
온코크로스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온타이드,연결,매출액(억원),"3,298.77","2,244.39","2,659.15",,,,-32%,18%,-100%,#DIV/0!,#DIV/0!
온타이드,연결,  전년동기대비(%),45.91,-31.96,18.48,,,,-170%,-158%,-100%,#DIV/0!,#DIV/0!
온타이드,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온타이드,연결,영업이익(억원),170.34,-35.81,-43.46,,,,-121%,21%,-100%,#DIV/0!,#DIV/0!
온타이드,연결,  전년동기대비(%),흑전,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
온타이드,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
온타이드,연결,당기순이익(억원),13.9,-85.06,-37.94,,,,-712%,-55%,-100%,#DIV/0!,#DIV/0!
온타이드,연결,  전년동기대비(%),흑전,적전,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
온타이드,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
올리패스,연결,매출액(억원),22.96,56.82,7.56,,,,147%,-87%,-100%,#DIV/0!,#DIV/0!
올리패스,연결,  전년동기대비(%),169.48,147.47,-86.69,,,,-13%,-159%,-100%,#DIV/0!,#DIV/0!
올리패스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
올리패스,연결,영업이익(억원),-241.3,-135.14,-101.19,,,,-44%,-25%,-100%,#DIV/0!,#DIV/0!
올리패스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
올리패스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
올리패스,연결,당기순이익(억원),-247.52,-128.19,-53.17,,,,-48%,-59%,-100%,#DIV/0!,#DIV/0!
올리패스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
올리패스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
올릭스,연결,매출액(억원),93.2,170.64,56.77,,,,83%,-67%,-100%,#DIV/0!,#DIV/0!
올릭스,연결,  전년동기대비(%),153.67,83.09,-66.73,,,,-46%,-180%,-100%,#DIV/0!,#DIV/0!
올릭스,연결,  컨센서스대비(%),-22.33,,,-,-,-,-100%,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
올릭스,연결,영업이익(억원),-223.76,-181.85,-309.19,,,,-19%,70%,-100%,#DIV/0!,#DIV/0!
올릭스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
올릭스,연결,  컨센서스대비(%),적지,,,-,-,-,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
올릭스,연결,당기순이익(억원),-218.88,-191.02,-406.59,,,,-13%,113%,-100%,#DIV/0!,#DIV/0!
올릭스,연결,  전년동기대비(%),적지,적지,적지,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
올릭스,연결,  컨센서스대비(%),적지,,,-,-,-,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
옴니시스템,연결,매출액(억원),980.48,914.29,"1,090.89",,,,-7%,19%,-100%,#DIV/0!,#DIV/0!
옴니시스템,연결,  전년동기대비(%),7.63,-6.75,19.32,,,,-188%,-386%,-100%,#DIV/0!,#DIV/0!
옴니시스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
옴니시스템,연결,영업이익(억원),18.62,3.05,59.54,,,,-84%,1852%,-100%,#DIV/0!,#DIV/0!
옴니시스템,연결,  전년동기대비(%),흑전,-83.62,"1,852.13",,,,#VALUE!,-2315%,-100%,#DIV/0!,#DIV/0!
옴니시스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
옴니시스템,연결,당기순이익(억원),4.63,5.88,67.17,,,,27%,1042%,-100%,#DIV/0!,#DIV/0!
옴니시스템,연결,  전년동기대비(%),흑전,27,"1,042.35",,,,#VALUE!,3761%,-100%,#DIV/0!,#DIV/0!
옴니시스템,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
옵투스제약,연결,매출액(억원),586.58,724.26,819.05,,,,23%,13%,-100%,#DIV/0!,#DIV/0!
옵투스제약,연결,  전년동기대비(%),2.34,23.47,13.09,,,,903%,-44%,-100%,#DIV/0!,#DIV/0!
옵투스제약,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
옵투스제약,연결,영업이익(억원),52.58,81.87,85.88,,,,56%,5%,-100%,#DIV/0!,#DIV/0!
옵투스제약,연결,  전년동기대비(%),-49.79,55.71,4.9,,,,-212%,-91%,-100%,#DIV/0!,#DIV/0!
옵투스제약,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
옵투스제약,연결,당기순이익(억원),50.12,107.6,103.08,,,,115%,-4%,-100%,#DIV/0!,#DIV/0!
옵투스제약,연결,  전년동기대비(%),-49.33,114.68,-4.2,,,,-332%,-104%,-100%,#DIV/0!,#DIV/0!
옵투스제약,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
옵트론텍,연결,매출액(억원),"1,982.28","2,329.99","2,179.58",,,,18%,-6%,-100%,#DIV/0!,#DIV/0!
옵트론텍,연결,  전년동기대비(%),-1.33,17.54,-6.46,,,,-1419%,-137%,-100%,#DIV/0!,#DIV/0!
옵트론텍,연결,  컨센서스대비(%),,2.21,-0.52,-,-,-,#DIV/0!,-124%,#VALUE!,#VALUE!,#VALUE!
옵트론텍,연결,영업이익(억원),-494.72,100.81,-44.47,,,,-120%,-144%,-100%,#DIV/0!,#DIV/0!
옵트론텍,연결,  전년동기대비(%),적지,흑전,적전,,,,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!
옵트론텍,연결,  컨센서스대비(%),,-24.77,적전,-,-,-,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
옵트론텍,연결,당기순이익(억원),-782.73,18.91,263.11,,,,-102%,1291%,-100%,#DIV/0!,#DIV/0!
옵트론텍,연결,  전년동기대비(%),적지,흑전,"1,291.38",,,,#VALUE!,#VALUE!,-100%,#DIV/0!,#DIV/0!
옵트론텍,연결,  컨센서스대비(%),,-86.2,흑전,-,-,-,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
옵티시스,연결,매출액(억원),287.05,219.95,237.58,,,,-23%,8%,-100%,#DIV/0!,#DIV/0!
옵티시스,연결,  전년동기대비(%),18.78,-23.38,8.02,,,,-224%,-134%,-100%,#DIV/0!,#DIV/0!
옵티시스,연결,  컨센서스대비(%),,,,-,-,-,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!
